UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
2909,3,300.7,309.5,1251,59.9,120,0,No Failure
2910,3,300.7,309.6,1500,44.1,122,0,No Failure
2911,3,300.6,309.5,1576,38.8,124,0,No Failure
2912,1,300.7,309.5,1352,44,126,0,No Failure
2913,3,300.7,309.6,1661,30.3,129,0,No Failure
2914,3,300.7,309.6,1541,34.6,131,0,No Failure
2915,2,300.6,309.6,1888,20.5,133,0,No Failure
2916,3,300.5,309.5,1255,62.1,138,0,No Failure
2917,3,300.6,309.6,1411,41.6,140,0,No Failure
2918,3,300.6,309.5,1516,39,142,0,No Failure
2919,1,300.6,309.5,1492,34,144,0,No Failure
2920,3,300.6,309.6,1726,30,147,0,No Failure
2921,3,300.7,309.7,1598,33.7,149,0,No Failure
2922,3,300.8,309.8,1657,31.1,151,0,No Failure
2923,3,300.8,309.7,1481,38.1,153,0,No Failure
2924,1,300.7,309.7,1397,51.3,155,0,No Failure
2925,3,300.8,309.7,1461,44.3,158,0,No Failure
2926,1,300.7,309.6,1388,51.1,160,0,No Failure
2927,3,300.7,309.7,1507,52.4,163,0,No Failure
2928,1,300.7,309.6,1421,49.8,165,0,No Failure
2929,1,300.8,309.7,1258,54.9,168,0,No Failure
2930,1,300.8,309.7,1482,39,171,0,No Failure
2931,2,300.7,309.6,1403,51.3,174,0,No Failure
2932,3,300.8,309.7,1373,45.4,179,0,No Failure
2933,3,300.9,309.7,1460,42.1,181,0,No Failure
2934,1,300.8,309.7,1751,27.9,183,0,No Failure
2935,1,300.8,309.6,1546,42.3,186,0,No Failure
2936,1,300.8,309.7,1680,28.2,189,0,No Failure
2937,1,300.9,309.7,1394,48.8,192,0,No Failure
2938,3,300.7,309.6,1810,26,195,0,No Failure
2939,3,300.7,309.5,1479,34.5,197,0,No Failure
2940,3,300.9,309.7,1431,41.4,199,0,No Failure
2941,3,300.9,309.7,2355,14.4,201,0,No Failure
2942,1,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
2943,3,300.7,309.5,1461,49.9,0,0,No Failure
2944,2,300.7,309.5,2007,19.7,2,0,No Failure
2945,3,300.7,309.6,1505,34.9,7,0,No Failure
2946,2,300.7,309.6,1925,20.5,9,0,No Failure
2947,1,300.7,309.5,1622,30.5,14,0,No Failure
2948,3,300.7,309.5,1592,29,17,0,No Failure
2949,3,300.7,309.5,1850,24.5,19,0,No Failure
2950,1,300.7,309.5,1470,48.7,21,0,No Failure
2951,1,300.7,309.5,1445,46.4,24,0,No Failure
2952,3,300.7,309.5,1685,31.1,27,0,No Failure
2953,2,300.7,309.5,1667,30.5,29,0,No Failure
2954,3,300.7,309.5,1578,35.4,34,0,No Failure
2955,2,300.6,309.4,1691,28,36,0,No Failure
2956,1,300.7,309.5,1439,43.8,41,0,No Failure
2957,1,300.8,309.6,1404,38.7,44,0,No Failure
2958,3,300.8,309.6,1498,45.8,47,0,No Failure
2959,1,300.8,309.5,1481,44.5,49,0,No Failure
2960,1,300.7,309.4,1589,35,52,0,No Failure
2961,3,300.7,309.5,1467,44.3,55,0,No Failure
2962,3,300.6,309.4,1654,32.8,57,0,No Failure
2963,3,300.7,309.5,1508,39.9,59,0,No Failure
2964,1,300.7,309.6,1439,43,61,0,No Failure
2965,3,300.7,309.5,1692,30.3,64,0,No Failure
2966,1,300.7,309.5,1838,24.9,66,0,No Failure
2967,3,300.6,309.3,1601,40.2,69,0,No Failure
2968,3,300.6,309.4,1369,51.6,71,0,No Failure
2969,1,300.6,309.4,1312,45.2,73,0,No Failure
2970,3,300.6,309.4,1468,44.1,76,0,No Failure
2971,1,300.6,309.4,1452,39.4,78,0,No Failure
2972,1,300.7,309.5,1393,43.9,81,0,No Failure
2973,1,300.6,309.4,1432,44.2,84,0,No Failure
2974,1,300.6,309.3,1510,46,87,0,No Failure
2975,1,300.6,309.4,1521,37.2,90,0,No Failure
2976,2,300.5,309.4,1360,46.2,93,0,No Failure
2977,1,300.5,309.3,1881,25.5,98,0,No Failure
2978,3,300.4,309.3,1413,50.3,101,0,No Failure
2979,2,300.5,309.4,1642,36.2,103,0,No Failure
2980,3,300.5,309.5,1542,38.5,108,0,No Failure
2981,3,300.4,309.5,1447,39.3,110,0,No Failure
2982,2,300.4,309.4,1530,40.4,112,0,No Failure
2983,3,300.5,309.5,1795,27.7,117,0,No Failure
2984,3,300.6,309.6,1290,57.4,119,0,No Failure
2985,3,300.6,309.7,1639,30.4,121,0,No Failure
2986,3,300.7,309.8,1596,31.5,123,0,No Failure
2987,3,300.6,309.8,1455,48,125,0,No Failure
2988,1,300.6,309.8,1659,28.9,127,0,No Failure
2989,1,300.6,309.8,1532,42.5,130,0,No Failure
2990,3,300.6,309.8,1502,42.4,133,0,No Failure
2991,3,300.6,309.8,1688,28.6,135,0,No Failure
2992,1,300.5,309.7,1341,50.9,137,0,No Failure
2993,1,300.5,309.7,1685,29.4,140,0,No Failure
2994,1,300.5,309.8,1370,55.9,143,0,No Failure
2995,3,300.5,309.8,1461,52.5,146,0,No Failure
2996,3,300.5,309.8,1550,37.4,148,0,No Failure
2997,1,300.5,309.8,1508,37.8,150,0,No Failure
2998,3,300.5,309.8,1345,62.7,153,0,No Failure
2999,3,300.5,309.7,1616,34.5,155,0,No Failure
3000,3,300.5,309.7,1395,61,157,0,No Failure
3001,2,300.5,309.8,1324,72.8,159,1,Power Failure
3002,3,300.5,309.8,1445,43.9,164,0,No Failure
3003,1,300.5,309.8,1555,38.9,166,0,No Failure
3004,1,300.6,309.9,1449,42.4,169,0,No Failure
3005,1,300.5,309.9,1466,53.2,172,0,No Failure
3006,3,300.5,309.9,1503,37.4,175,0,No Failure
3007,3,300.4,309.7,1488,35.7,177,0,No Failure
3008,3,300.4,309.7,1314,50.2,179,0,No Failure
3009,1,300.4,309.7,1547,38,181,0,No Failure
3010,1,300.4,309.7,1466,39.8,184,0,No Failure
3011,3,300.3,309.6,1537,37.1,187,0,No Failure
3012,1,300.2,309.5,1434,51.5,189,0,No Failure
3013,3,300.4,309.6,1432,44.7,192,0,No Failure
3014,3,300.5,309.6,1390,48.4,194,0,No Failure
3015,3,300.5,309.7,1580,42.8,196,0,No Failure
3016,3,300.5,309.7,1589,30.5,198,0,No Failure
3017,3,300.5,309.8,1441,48.8,200,0,No Failure
3018,3,300.5,309.8,1305,51.7,202,0,No Failure
3019,1,300.5,309.8,1566,35.9,204,0,No Failure
3020,3,300.5,309.8,1379,54.2,207,1,Overstrain Failure
3021,3,300.4,309.6,1543,38.1,209,0,No Failure
3022,3,300.5,309.8,1421,49.6,211,0,No Failure
3023,3,300.5,309.6,1760,30.6,213,0,No Failure
3024,3,300.4,309.5,1711,29.2,215,0,No Failure
3025,3,300.5,309.6,1465,41.6,217,0,No Failure
3026,3,300.5,309.6,1366,50.2,219,0,No Failure
3027,1,300.4,309.5,1888,21.9,221,0,No Failure
3028,3,300.5,309.5,1777,23.6,0,0,No Failure
3029,3,300.5,309.5,1379,55.6,2,0,No Failure
3030,3,300.4,309.5,1525,51.3,4,0,No Failure
3031,1,300.4,309.6,1563,34,6,0,No Failure
3032,1,300.5,309.7,1389,43.3,9,0,No Failure
3033,1,300.6,309.8,1447,42.9,12,0,No Failure
3034,1,300.6,309.7,1934,22.8,15,0,No Failure
3035,2,300.6,309.7,1470,43.8,18,0,No Failure
3036,1,300.6,309.7,1428,42.6,23,0,No Failure
3037,3,300.4,309.6,1319,48.1,26,0,No Failure
3038,3,300.5,309.7,1887,24.3,28,0,No Failure
3039,3,300.4,309.5,1349,50.4,30,0,No Failure
3040,1,300.3,309.5,1665,31.4,32,0,No Failure
3041,3,300.3,309.5,1474,38.7,35,0,No Failure
3042,3,300.4,309.5,1543,38.9,37,0,No Failure
3043,1,300.2,309.4,1459,43.9,39,0,No Failure
3044,3,300.3,309.5,1551,37.9,42,0,No Failure
3045,3,300.2,309.4,1981,21.4,44,0,No Failure
3046,3,300.2,309.4,1526,35.3,46,0,No Failure
3047,1,300.2,309.4,1501,40,48,0,No Failure
3048,3,300.2,309.4,1558,38.3,51,0,No Failure
3049,3,300.2,309.3,1532,43.2,53,0,No Failure
3050,3,300.1,309.2,1326,55.9,55,0,No Failure
3051,3,300.2,309.2,1431,51.3,57,0,No Failure
3052,3,300.2,309.3,1366,49.3,59,0,No Failure
3053,3,300.1,309.2,1421,42.5,61,0,No Failure
3054,2,300.2,309.3,1506,35.6,63,0,No Failure
3055,2,300.2,309.3,1342,48.7,68,0,No Failure
3056,3,300.1,309.2,1427,37.6,73,0,No Failure
3057,3,300.2,309.2,1667,29.9,75,0,No Failure
3058,3,300.1,309.1,1400,46.7,77,0,No Failure
3059,3,300,309,1709,32.1,79,0,No Failure
3060,1,300,309,1368,45.8,81,0,No Failure
3061,3,300,309.1,1882,23.8,84,0,No Failure
3062,3,300.1,309.1,1353,58.7,86,0,No Failure
3063,3,299.9,309,1553,40,88,0,No Failure
3064,3,300,309.1,1431,45.4,90,0,No Failure
3065,1,300.1,309.1,1731,30.4,92,0,No Failure
3066,1,300.1,309.2,1687,27.7,95,0,Random Failures
3067,1,300.1,309.2,1457,44.3,98,0,No Failure
3068,3,300.1,309.2,1533,37,101,0,No Failure
3069,2,300,309,1622,31.8,103,0,No Failure
3070,3,300,309.1,1791,28.2,108,0,No Failure
3071,3,300,309.1,1631,28.3,110,0,No Failure
3072,3,300,309,2174,16.9,112,0,No Failure
3073,3,300.1,309,1314,58.2,114,0,No Failure
3074,3,300.1,309.1,1478,46.9,116,0,No Failure
3075,3,300.1,309.2,1783,27.3,118,0,No Failure
3076,1,300.1,309.2,1385,46.1,120,0,No Failure
3077,3,300,309.2,1444,43.6,123,0,No Failure
3078,3,300.1,309.3,1841,23,125,0,No Failure
3079,1,300.1,309.4,1349,56.2,127,0,No Failure
3080,3,300.1,309.3,1340,56,130,0,No Failure
3081,1,299.9,309.2,1539,43.2,132,0,No Failure
3082,1,300,309.3,1932,21.8,135,0,No Failure
3083,1,300,309.3,1407,43.9,138,0,No Failure
3084,3,300.1,309.3,1712,28.5,141,0,No Failure
3085,2,300.1,309.4,1329,55.2,143,0,No Failure
3086,3,300.1,309.2,1441,42.9,148,0,No Failure
3087,3,300,309.2,1610,32.1,150,0,No Failure
3088,1,300,309.1,1474,45.2,152,0,No Failure
3089,1,300,309.1,1624,30.8,155,0,No Failure
3090,2,300.1,309.3,1520,38.2,158,0,No Failure
3091,2,300.1,309.3,1448,45.8,163,0,No Failure
3092,3,300,309.3,1558,29.7,168,0,No Failure
3093,1,300,309.3,2293,16.3,170,0,No Failure
3094,3,300,309.3,1397,51.2,173,0,No Failure
3095,3,300,309.3,1972,22,175,0,No Failure
3096,1,299.9,309.2,1574,36.5,177,0,No Failure
3097,3,299.9,309.2,1560,38.9,180,0,No Failure
3098,1,299.9,309.2,1353,49.8,182,0,No Failure
3099,1,299.9,309.2,1389,51.2,185,0,No Failure
3100,1,299.9,309.1,1513,43.8,188,0,No Failure
3101,3,299.8,309.1,1578,42.1,191,0,No Failure
3102,2,299.8,309,1467,37.3,193,0,No Failure
3103,3,299.9,309.1,1412,48.3,198,0,No Failure
3104,3,299.8,309.1,1668,30.3,200,0,No Failure
3105,1,299.8,309.2,1678,29.8,202,0,No Failure
3106,3,299.8,309.1,1612,35.4,205,0,No Failure
3107,3,299.8,309.1,1485,39.9,207,0,No Failure
3108,1,299.8,309.1,1456,39.4,209,0,No Failure
3109,3,299.8,309.2,1504,38.7,212,0,No Failure
3110,3,299.9,309.2,1491,44.3,214,0,No Failure
3111,2,299.9,309.2,1525,33.2,0,0,No Failure
3112,3,300,309.2,1759,27.9,5,0,No Failure
3113,1,299.8,309.1,1355,56.7,7,0,No Failure
3114,1,299.9,309.1,1345,56.8,10,0,No Failure
3115,1,299.9,309.2,1683,30.5,13,0,No Failure
3116,3,299.9,309.2,1658,34.8,16,0,No Failure
3117,3,300,309.2,1566,34.4,18,0,No Failure
3118,1,300.1,309.3,1469,43.9,20,0,No Failure
3119,1,300.2,309.5,1458,46.9,23,0,No Failure
3120,3,300.1,309.4,1858,23.6,26,0,No Failure
3121,2,300.1,309.4,1563,40.8,28,0,No Failure
3122,3,300.1,309.4,2141,17.9,33,0,No Failure
3123,3,300,309.3,1473,46,35,0,No Failure
3124,2,300,309.4,1498,38.5,37,0,No Failure
3125,3,300.1,309.4,1568,39.7,42,0,No Failure
3126,3,300.1,309.4,1694,27.4,44,0,No Failure
3127,3,300,309.4,1499,35.7,46,0,No Failure
3128,3,300,309.5,1717,28.3,48,0,No Failure
3129,1,300.1,309.5,1462,42.8,50,0,No Failure
3130,3,300.1,309.6,1642,34.5,53,0,No Failure
3131,3,300.1,309.6,1760,25.4,55,0,No Failure
3132,3,300.1,309.5,1660,32.7,57,0,No Failure
3133,3,300.1,309.5,1557,40.6,59,0,No Failure
3134,2,300.2,309.6,1442,49.2,61,0,No Failure
3135,3,300.2,309.6,1359,51.5,66,0,No Failure
3136,3,300.4,309.8,1342,52.5,68,0,No Failure
3137,3,300.4,309.9,1435,54.8,70,0,No Failure
3138,3,300.4,309.9,1567,36.5,72,0,No Failure
3139,3,300.4,309.9,1376,43.5,74,0,No Failure
3140,2,300.4,309.9,1513,38.7,76,0,No Failure
3141,2,300.4,309.9,2563,12.8,81,1,Power Failure
3142,3,300.5,310,1521,45.1,86,0,No Failure
3143,3,300.6,310,1658,34.7,88,0,No Failure
3144,2,300.6,310,1419,42.4,90,0,No Failure
3145,1,300.6,310,1478,36.3,95,0,No Failure
3146,1,300.5,310,1415,43.5,98,0,No Failure
3147,1,300.5,309.9,1780,26.5,101,0,No Failure
3148,1,300.4,309.7,1440,42.8,104,0,No Failure
3149,2,300.4,309.8,1448,39.7,107,0,No Failure
3150,2,300.4,309.7,1500,35.2,112,0,No Failure
3151,3,300.4,309.8,1513,32.9,117,0,No Failure
3152,3,300.5,309.8,1428,43.8,119,0,No Failure
3153,1,300.5,309.8,1473,42.3,121,0,No Failure
3154,1,300.5,309.9,1483,49.3,124,0,No Failure
3155,3,300.4,309.7,1534,42.5,127,0,No Failure
3156,3,300.5,309.8,1367,54,129,0,No Failure
3157,3,300.4,309.7,1467,36.9,131,0,No Failure
3158,1,300.4,309.7,1488,42.2,133,0,No Failure
3159,3,300.4,309.7,1679,30.1,136,0,No Failure
3160,2,300.4,309.8,1409,47.5,138,0,No Failure
3161,1,300.4,309.7,1367,51.2,143,0,No Failure
3162,3,300.4,309.8,1314,63.1,146,0,No Failure
3163,3,300.5,309.9,1480,40,148,0,No Failure
3164,3,300.4,309.8,1549,38.9,150,0,No Failure
3165,3,300.4,309.7,1685,31.3,152,0,No Failure
3166,3,300.4,309.6,1536,34.5,154,0,No Failure
3167,1,300.4,309.7,1539,37.7,156,0,No Failure
3168,3,300.4,309.7,1384,45.1,159,0,No Failure
3169,1,300.4,309.6,1614,30.3,161,0,No Failure
3170,1,300.4,309.6,1675,35.5,164,0,No Failure
3171,1,300.4,309.7,1685,32.3,167,0,No Failure
3172,3,300.4,309.6,1386,56.9,170,0,No Failure
3173,1,300.3,309.6,1488,41.3,172,0,No Failure
3174,3,300.3,309.6,1624,32.6,175,0,No Failure
3175,3,300.3,309.6,1600,34.6,177,0,No Failure
3176,3,300.3,309.6,1468,44.7,179,0,No Failure
3177,3,300.3,309.6,1435,45.4,181,0,No Failure
3178,1,300.2,309.5,1564,33.4,183,0,No Failure
3179,1,300.2,309.4,1329,53.6,186,0,No Failure
3180,3,300.1,309.3,1570,36.8,189,0,No Failure
3181,1,300.2,309.4,1433,48.8,191,0,No Failure
3182,3,300.2,309.4,1527,37,194,0,No Failure
3183,1,300.1,309.3,1443,50.3,196,0,No Failure
3184,3,300.1,309.3,1616,32,199,0,No Failure
3185,3,300.1,309.3,1654,31,201,0,No Failure
3186,3,300.1,309.3,1685,27.1,203,0,No Failure
3187,1,300.2,309.4,1456,48.8,205,0,No Failure
3188,1,300.2,309.4,1752,27.8,208,0,No Failure
3189,1,300.1,309.2,1438,51,211,0,No Failure
3190,3,300.1,309.1,1551,33.7,214,0,No Failure
3191,3,300.1,309.2,1599,30.1,216,0,No Failure
3192,1,300.1,309.2,1732,33.7,218,0,No Failure
3193,1,300.1,309.2,1418,39.8,221,0,No Failure
3194,3,300,309.1,1401,44.5,0,0,No Failure
3195,3,300,309,1454,51.7,2,0,No Failure
3196,1,300,309.2,1635,32.4,4,0,No Failure
3197,3,300,309.1,1489,40.3,7,0,No Failure
3198,3,300,309.1,1465,40.6,9,0,No Failure
3199,1,300,309.1,1463,45.7,11,0,No Failure
3200,2,300.1,309.1,1560,35.4,14,0,No Failure
3201,1,300.1,309.2,1454,44.4,19,0,No Failure
3202,3,300.2,309.1,1479,47,22,0,No Failure
3203,3,300.2,309.2,1430,43.4,24,0,No Failure
3204,1,300.1,309.1,1533,38,26,0,No Failure
3205,3,300.1,309,1404,54.8,29,0,No Failure
3206,1,300.1,308.9,1548,38.4,31,0,No Failure
3207,1,300.1,309,1612,33,34,0,No Failure
3208,1,300.2,309,1642,31.2,37,0,No Failure
3209,1,300.2,309.1,1406,42.2,40,0,No Failure
3210,3,300.3,309.2,1587,31.4,43,0,No Failure
3211,1,300.3,309.2,1364,47.6,45,0,No Failure
3212,3,300.3,309.2,1462,51.4,48,0,No Failure
3213,3,300.3,309.2,1649,32.4,50,0,No Failure
3214,3,300.4,309.2,1752,29,52,0,No Failure
3215,2,300.4,309.3,1396,51.2,54,0,No Failure
3216,1,300.5,309.4,2179,16.3,59,0,No Failure
3217,3,300.5,309.5,1653,27.6,62,0,No Failure
3218,3,300.6,309.5,2025,21.4,64,0,No Failure
3219,3,300.6,309.6,1426,53.6,66,0,No Failure
3220,1,300.6,309.6,1503,38.4,68,0,No Failure
3221,1,300.7,309.6,1525,36.5,71,0,No Failure
3222,3,300.6,309.6,1423,49.1,74,0,No Failure
3223,1,300.7,309.7,1435,44.7,76,0,No Failure
3224,2,300.6,309.5,1495,36.5,79,0,No Failure
3225,1,300.6,309.5,1557,33.8,84,0,No Failure
3226,3,300.6,309.4,1474,40.7,87,0,No Failure
3227,3,300.5,309.3,1465,46,89,0,No Failure
3228,1,300.5,309.3,1589,34.9,91,0,No Failure
3229,3,300.5,309.3,1475,46.8,94,0,No Failure
3230,3,300.6,309.4,1442,43.2,96,0,No Failure
3231,3,300.6,309.4,1556,36,98,0,No Failure
3232,3,300.7,309.3,1425,45.3,100,0,No Failure
3233,3,300.7,309.3,1580,38.3,102,0,No Failure
3234,2,300.8,309.4,1474,40.7,104,0,No Failure
3235,3,300.8,309.4,1489,38.4,109,0,No Failure
3236,3,300.8,309.4,1946,20.5,111,0,No Failure
3237,1,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure
3238,1,300.9,309.5,1758,26.8,116,0,No Failure
3239,1,300.9,309.4,1724,25.6,119,0,No Failure
3240,3,301,309.5,1430,48.5,122,0,No Failure
3241,3,300.9,309.5,1612,35.2,124,0,No Failure
3242,2,300.9,309.5,1469,43.4,126,0,No Failure
3243,3,300.9,309.6,1384,42.4,131,0,No Failure
3244,3,301,309.6,1724,28.1,133,0,No Failure
3245,1,301,309.6,1397,48,135,0,No Failure
3246,1,301,309.6,1588,32.7,138,0,No Failure
3247,3,301,309.7,1468,42,141,0,No Failure
3248,1,301,309.8,1594,31.1,143,0,No Failure
3249,1,301,309.7,1511,39.3,146,0,No Failure
3250,3,301.1,309.8,1493,38.9,149,0,No Failure
3251,2,301.2,309.8,1709,27,151,0,No Failure
3252,3,301.1,309.6,1501,36.1,156,0,No Failure
3253,3,301.1,309.7,1668,30.8,158,0,No Failure
3254,3,301.1,309.6,1502,48.9,160,0,No Failure
3255,1,301,309.7,1288,58.4,162,0,No Failure
3256,3,301,309.7,1491,42.9,165,0,No Failure
3257,3,301.1,309.8,1519,39.6,167,0,No Failure
3258,3,301.2,309.9,1984,19.7,169,0,No Failure
3259,3,301.2,309.9,1643,32.9,171,0,No Failure
3260,1,301.2,310,1625,31.6,173,0,No Failure
3261,1,301.3,310,2068,17.8,176,0,No Failure
3262,2,301.3,310.1,1469,39.7,179,0,No Failure
3263,3,301.3,310.1,1558,36.3,184,0,No Failure
3264,3,301.3,310,1344,54.8,186,0,No Failure
3265,2,301.3,310.1,1455,44.1,188,0,No Failure
3266,3,301.3,310.1,1355,53.6,193,0,No Failure
3267,3,301.3,310.1,1269,56.8,195,1,Overstrain Failure
3268,3,301.3,310,1550,41.5,197,0,No Failure
3269,1,301.3,310.1,1525,37.8,199,0,No Failure
3270,1,301.3,310,1696,32.4,202,0,No Failure
3271,3,301.4,310.1,1937,21.8,205,0,No Failure
3272,1,301.4,310,1689,32.1,207,0,No Failure
3273,1,301.3,310,1593,30.8,210,0,No Failure
3274,1,301.3,309.9,1565,36,213,0,No Failure
3275,3,301.3,310,1665,31.4,0,0,No Failure
3276,2,301.3,310,1532,36.3,2,0,No Failure
3277,3,301.3,310,1438,40.9,7,0,No Failure
3278,3,301.3,310.1,1531,41.6,9,0,No Failure
3279,3,301.3,310,1506,40.8,11,0,No Failure
3280,3,301.2,309.9,1382,52.4,13,0,No Failure
3281,1,301.2,309.9,1456,50.8,15,0,No Failure
3282,1,301.2,310,1445,45.6,18,0,No Failure
3283,3,301.2,309.9,1515,40.9,21,0,No Failure
3284,3,301.2,309.9,1449,45.5,23,0,No Failure
3285,2,301.2,309.9,1362,50.7,25,0,No Failure
3286,3,301.2,309.9,1687,29.7,30,0,No Failure
3287,3,301.2,310,1618,37.6,32,0,No Failure
3288,1,301.2,310.1,1558,32.6,34,0,No Failure
3289,3,301.3,310.1,1662,31,37,0,No Failure
3290,1,301.2,310.1,1295,56.6,39,0,No Failure
3291,3,301.2,310.2,1385,42.3,42,0,No Failure
3292,1,301.2,310.1,1479,45.5,44,0,No Failure
3293,3,301.3,310.3,1400,44.3,47,0,No Failure
3294,1,301.2,310.3,1357,54.5,49,0,No Failure
3295,3,301.1,310.2,1657,34.1,52,0,No Failure
3296,3,301.1,310.2,1496,43.4,54,0,No Failure
3297,1,301.2,310.3,1379,43.2,56,0,No Failure
3298,3,301.2,310.3,1548,38.6,59,0,No Failure
3299,3,301.2,310.3,1499,38.1,61,0,No Failure
3300,3,301.3,310.5,1390,45.8,63,0,No Failure
3301,2,301.3,310.4,1538,38.4,65,0,No Failure
3302,3,301.3,310.5,1365,47.7,70,0,No Failure
3303,3,301.3,310.5,1503,48.6,72,0,No Failure
3304,3,301.2,310.4,1390,49.9,74,0,No Failure
3305,3,301.2,310.3,1497,45.7,76,0,No Failure
3306,1,301.3,310.4,1577,48.3,78,0,No Failure
3307,3,301.4,310.5,1432,54.3,81,0,No Failure
3308,1,301.4,310.5,1563,39.9,83,0,No Failure
3309,3,301.4,310.4,1433,43.4,86,0,No Failure
3310,3,301.3,310.4,1384,50.1,88,0,No Failure
3311,3,301.3,310.4,1346,46.7,90,0,No Failure
3312,3,301.3,310.4,1459,44.7,92,0,No Failure
3313,3,301.4,310.4,1639,28.9,94,0,No Failure
3314,3,301.4,310.4,1737,31.9,96,0,No Failure
3315,3,301.4,310.5,1489,43.5,98,0,No Failure
3316,1,301.5,310.6,1492,43,100,0,No Failure
3317,1,301.4,310.5,1217,60.6,103,0,No Failure
3318,3,301.5,310.5,1636,28.7,106,0,No Failure
3319,3,301.4,310.4,1436,49.7,108,0,No Failure
3320,3,301.4,310.4,1689,30.6,110,0,No Failure
3321,3,301.5,310.5,2289,16.4,112,0,No Failure
3322,3,301.5,310.6,1522,41,114,0,No Failure
3323,3,301.5,310.5,1351,52.9,116,0,No Failure
3324,3,301.5,310.5,1589,36.7,118,0,No Failure
3325,3,301.5,310.6,1578,34.1,120,0,No Failure
3326,3,301.5,310.6,1587,33.7,122,0,No Failure
3327,3,301.5,310.6,1962,20.2,124,0,No Failure
3328,1,301.5,310.6,2432,14.2,126,0,No Failure
3329,3,301.6,310.6,1418,43.9,129,0,No Failure
3330,3,301.6,310.7,1683,29.7,131,0,No Failure
3331,3,301.7,310.8,1385,50.7,133,0,No Failure
3332,3,301.7,310.8,1559,44.5,135,0,No Failure
3333,1,301.7,310.8,1671,31.6,137,0,No Failure
3334,1,301.6,310.8,1343,49.5,140,0,No Failure
3335,1,301.6,310.8,1548,34.2,143,0,No Failure
3336,3,301.7,310.9,1705,31.2,146,0,No Failure
3337,3,301.6,310.8,1535,35.4,148,0,No Failure
3338,3,301.6,310.8,1564,34.1,150,0,No Failure
3339,1,301.6,310.9,1510,40.9,152,0,No Failure
3340,3,301.6,310.9,1492,45.2,155,0,No Failure
3341,1,301.5,310.8,1452,44.1,157,0,No Failure
3342,2,301.4,310.7,1329,52,160,0,No Failure
3343,3,301.5,310.8,1382,52.4,165,0,No Failure
3344,1,301.5,310.8,1628,36.4,167,0,No Failure
3345,3,301.4,310.7,1706,27.9,170,0,No Failure
3346,3,301.3,310.7,1594,34.1,172,0,No Failure
3347,3,301.3,310.7,1761,24.3,174,0,No Failure
3348,3,301.3,310.6,1529,41.8,176,0,No Failure
3349,1,301.3,310.7,1532,40.7,178,0,No Failure
3350,3,301.4,310.7,1673,27.8,181,0,No Failure
3351,3,301.4,310.8,1285,62.6,183,1,Overstrain Failure
3352,3,301.4,310.8,1680,31.4,185,0,No Failure
3353,3,301.4,310.8,1610,34.6,187,0,No Failure
3354,3,301.6,310.9,1632,31.6,189,0,No Failure
3355,3,301.6,310.9,1559,40.2,191,0,No Failure
3356,3,301.5,310.8,1367,49,193,0,No Failure
3357,3,301.6,310.8,1355,57.8,195,1,Overstrain Failure
3358,2,301.6,310.7,1414,51.7,197,0,No Failure
3359,3,301.5,310.6,1522,36.6,202,0,No Failure
3360,3,301.5,310.6,1525,41.9,204,0,No Failure
3361,3,301.5,310.6,1394,46.5,206,0,No Failure
3362,3,301.5,310.6,1519,40.7,208,0,No Failure
3363,3,301.4,310.6,1445,43.9,210,0,No Failure
3364,3,301.4,310.6,1555,43.3,212,0,No Failure
3365,3,301.4,310.5,1633,39.5,0,0,No Failure
3366,1,301.4,310.6,1630,30.3,2,0,No Failure
3367,1,301.4,310.7,1692,32.3,5,0,No Failure
3368,2,301.5,310.7,1790,26.2,8,0,No Failure
3369,3,301.5,310.8,1350,58.5,13,0,No Failure
3370,3,301.5,310.9,2760,8,15,1,Power Failure
3371,3,301.4,310.7,1584,32.2,17,0,No Failure
3372,3,301.4,310.7,1989,21.8,19,0,No Failure
3373,3,301.4,310.8,1431,44.3,21,0,No Failure
3374,3,301.4,310.7,1568,35.2,23,0,No Failure
3375,3,301.4,310.7,1376,50.6,25,0,No Failure
3376,1,301.4,310.6,1459,46.9,27,0,No Failure
3377,1,301.5,310.8,1385,47.5,30,0,No Failure
3378,2,301.5,310.8,1591,29.6,33,0,No Failure
3379,3,301.5,310.7,1568,33.1,38,0,No Failure
3380,1,301.4,310.7,1459,37.7,40,0,No Failure
3381,3,301.4,310.7,1590,36.3,43,0,No Failure
3382,3,301.3,310.6,1376,47.6,45,0,No Failure
3383,3,301.3,310.6,1510,38.5,47,0,No Failure
3384,2,301.4,310.6,1674,33.6,49,0,No Failure
3385,3,301.3,310.6,1426,40.7,54,0,No Failure
3386,3,301.5,310.7,1466,43.6,56,0,No Failure
3387,2,301.5,310.8,1474,38.7,58,0,No Failure
3388,1,301.6,310.8,1290,65.3,63,0,No Failure
3389,1,301.7,310.9,1435,48,66,0,No Failure
3390,1,301.5,310.7,1416,53.2,69,0,No Failure
3391,2,301.5,310.7,1599,40.4,72,0,No Failure
3392,3,301.5,310.7,1466,47.3,77,0,No Failure
3393,3,301.5,310.7,1408,47.3,79,0,No Failure
3394,3,301.5,310.6,1490,48.1,81,0,No Failure
3395,3,301.5,310.6,1405,42.3,83,0,No Failure
