UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2743,2,299.6,309.1,1369,51.4,164,0,0,0,0,0,0
2744,2,299.6,309.1,1476,45.3,166,0,0,0,0,0,0
2745,2,299.7,309.2,1620,30,168,0,0,0,0,0,0
2746,1,299.7,309.1,1603,38.5,170,0,0,0,0,0,0
2747,2,299.7,309.2,1411,46.1,173,0,0,0,0,0,0
2748,2,299.7,309.2,1616,31.6,175,0,0,0,0,0,0
2749,2,299.7,309.2,1631,35.1,177,0,0,0,0,0,0
2750,1,299.7,309.2,1685,28.9,179,1,0,0,0,0,0
2751,3,299.7,309.2,1456,40.6,182,0,0,0,0,0,0
2752,2,299.7,309.1,1417,50.1,187,0,0,0,0,0,0
2753,1,299.7,309.1,1851,24.7,189,0,0,0,0,0,0
2754,2,299.7,309.1,1715,27.8,192,0,0,0,0,0,0
2755,3,299.6,309.1,1630,32.3,194,0,0,0,0,0,0
2756,2,299.7,309.2,1478,38.8,199,0,0,0,0,0,0
2757,2,299.7,309.2,1781,29.6,201,0,0,0,0,0,0
2758,2,299.8,309.2,1439,36.1,203,0,0,0,0,0,0
2759,1,299.7,309.2,1412,45.3,205,0,0,0,0,0,0
2760,2,299.7,309.1,1483,41.1,208,0,0,0,0,0,0
2761,2,299.8,309.2,1400,42.6,210,0,0,0,0,0,0
2762,2,299.8,309.3,1299,65.1,212,1,0,0,0,1,0
2763,2,299.8,309.2,1479,44.4,214,0,0,0,0,0,0
2764,2,299.8,309.2,1491,47.5,216,0,0,0,0,0,0
2765,1,299.9,309.3,1389,52.8,0,0,0,0,0,0,0
2766,1,299.9,309.4,1399,54.8,3,0,0,0,0,0,0
2767,1,299.9,309.4,1889,26,6,0,0,0,0,0,0
2768,2,300,309.5,1925,21.9,9,0,0,0,0,0,0
2769,2,300,309.5,1675,30.2,11,0,0,0,0,0,0
2770,1,300,309.6,1477,38.1,13,0,0,0,0,0,0
2771,2,300,309.6,1364,45.9,16,0,0,0,0,0,0
2772,2,299.9,309.5,1451,39.4,18,0,0,0,0,0,0
2773,2,299.9,309.4,1467,41.2,20,0,0,0,0,0,0
2774,2,299.9,309.4,1858,22.5,22,0,0,0,0,0,0
2775,2,300.1,309.4,1559,39.7,24,0,0,0,0,0,0
2776,2,300.1,309.4,1560,47.7,26,0,0,0,0,0,0
2777,2,300.1,309.4,1453,47.6,28,0,0,0,0,0,0
2778,2,300.1,309.4,1464,41.7,30,0,0,0,0,0,0
2779,2,300,309.4,1308,50.2,32,0,0,0,0,0,0
2780,2,300.1,309.5,1353,50.9,34,0,0,0,0,0,0
2781,1,300.2,309.6,1556,35.8,36,0,0,0,0,0,0
2782,2,300.2,309.5,2183,17.8,39,0,0,0,0,0,0
2783,1,300.2,309.6,1491,41.8,41,0,0,0,0,0,0
2784,1,300.2,309.6,1528,35.1,44,0,0,0,0,0,0
2785,2,300.2,309.6,1430,52.7,47,0,0,0,0,0,0
2786,2,300.2,309.5,1495,32.6,49,0,0,0,0,0,0
2787,1,300.2,309.5,1630,28.3,51,0,0,0,0,0,0
2788,1,300.3,309.6,1524,38.4,54,0,0,0,0,0,0
2789,2,300.3,309.6,1326,52.4,57,0,0,0,0,0,0
2790,3,300.3,309.5,1438,44,59,0,0,0,0,0,0
2791,2,300.4,309.6,1356,45.9,64,0,0,0,0,0,0
2792,3,300.4,309.6,1416,43.3,66,0,0,0,0,0,0
2793,2,300.4,309.7,1584,32.6,71,0,0,0,0,0,0
2794,2,300.3,309.6,1597,31.8,73,0,0,0,0,0,0
2795,2,300.4,309.6,1553,43.9,75,0,0,0,0,0,0
2796,1,300.3,309.5,1405,49.4,77,0,0,0,0,0,0
2797,2,300.2,309.5,1539,35.3,80,0,0,0,0,0,0
2798,1,300.3,309.6,1398,53.7,82,0,0,0,0,0,0
2799,2,300.3,309.6,1568,39.6,85,0,0,0,0,0,0
2800,2,300.3,309.6,1404,44.6,87,0,0,0,0,0,0
2801,1,300.2,309.5,1500,45.7,89,0,0,0,0,0,0
2802,1,300.2,309.5,1642,28.8,92,0,0,0,0,0,0
2803,1,300.3,309.6,1509,46.6,95,0,0,0,0,0,0
2804,2,300.2,309.5,1343,50.2,98,0,0,0,0,0,0
2805,2,300.1,309.5,1450,40.1,100,0,0,0,0,0,0
2806,2,300,309.4,1460,43.5,102,0,0,0,0,0,0
2807,2,300,309.3,1364,41.2,104,0,0,0,0,0,0
2808,1,299.9,309.3,1452,41.9,106,0,0,0,0,0,0
2809,2,299.9,309.3,1471,41.8,109,0,0,0,0,0,0
2810,2,299.9,309.2,1598,34.6,111,0,0,0,0,0,0
2811,2,299.8,309.1,1772,24.8,113,0,0,0,0,0,0
2812,2,299.9,309.2,1761,25.6,115,0,0,0,0,0,0
2813,1,300,309.3,1413,40.7,117,0,0,0,0,0,0
2814,2,300,309.3,1887,22.6,120,0,0,0,0,0,0
2815,2,300,309.3,1395,56.5,122,0,0,0,0,0,0
2816,1,300.1,309.4,1569,31.6,124,0,0,0,0,0,0
2817,2,300.1,309.4,1434,47.3,127,0,0,0,0,0,0
2818,2,300.2,309.5,1417,41.1,129,0,0,0,0,0,0
2819,2,300.2,309.5,1729,28.4,131,0,0,0,0,0,0
2820,2,300.2,309.5,1356,51.1,133,0,0,0,0,0,0
2821,2,300.2,309.5,1436,48.8,135,0,0,0,0,0,0
2822,1,300.3,309.6,1419,42.5,137,0,0,0,0,0,0
2823,2,300.3,309.6,1593,38.1,140,0,0,0,0,0,0
2824,1,300.3,309.5,1320,62.2,142,0,0,0,0,0,0
2825,1,300.3,309.5,1448,42.4,145,0,0,0,0,0,0
2826,2,300.3,309.4,1470,33.5,148,0,0,0,0,0,0
2827,1,300.3,309.4,1612,33.1,150,0,0,0,0,0,0
2828,2,300.4,309.4,1412,51.6,153,0,0,0,0,0,0
2829,1,300.4,309.4,1875,23.9,155,0,0,0,0,0,0
2830,2,300.3,309.3,1612,36,158,0,0,0,0,0,0
2831,1,300.4,309.3,1411,41.6,160,0,0,0,0,0,0
2832,1,300.3,309.2,1490,47.9,163,0,0,0,0,0,0
2833,1,300.4,309.3,1467,40.3,166,0,0,0,0,0,0
2834,2,300.3,309.2,1807,26.4,169,0,0,0,0,0,0
2835,2,300.3,309.1,1368,46,171,0,0,0,0,0,0
2836,2,300.3,309.2,1572,32,173,0,0,0,0,0,0
2837,1,300.3,309.1,1458,44.3,175,0,0,0,0,0,0
2838,2,300.3,309.1,1699,30.3,178,0,0,0,0,0,0
2839,2,300.3,309.3,1478,39.5,180,0,0,0,0,0,0
2840,1,300.4,309.4,1362,42.1,182,0,0,0,0,0,0
2841,3,300.4,309.4,1487,38.9,185,0,0,0,0,0,0
2842,2,300.3,309.4,1705,29.4,190,0,0,0,0,0,0
2843,2,300.3,309.3,1345,53.5,192,0,0,0,0,0,0
2844,2,300.3,309.2,1532,40.2,194,0,0,0,0,0,0
2845,2,300.3,309.2,1650,35.2,196,0,0,0,0,0,0
2846,2,300.3,309.2,1398,54.4,198,0,0,0,0,0,0
2847,2,300.3,309.2,1412,44.8,200,0,0,0,0,0,0
2848,2,300.4,309.3,1525,39.6,202,0,0,0,0,0,0
2849,1,300.3,309.3,1391,57.9,204,0,0,0,0,0,0
2850,2,300.4,309.3,1766,28.2,207,0,0,0,0,0,0
2851,2,300.4,309.3,1671,35,209,0,0,0,0,0,0
2852,2,300.5,309.3,1373,48.8,211,0,0,0,0,0,0
2853,1,300.5,309.4,1347,50.1,213,0,0,0,0,0,0
2854,1,300.5,309.3,1539,39.1,216,0,0,0,0,0,0
2855,2,300.5,309.3,1470,40.8,219,0,0,0,0,0,0
2856,2,300.5,309.3,1528,37,221,0,0,0,0,0,0
2857,3,300.5,309.3,1471,45.2,223,0,0,0,0,0,0
2858,1,300.4,309.2,1528,37.2,228,0,0,0,0,0,0
2859,2,300.5,309.3,1417,51.5,231,1,0,0,0,1,0
2860,2,300.6,309.4,1549,43.4,233,0,0,0,0,0,0
2861,3,300.6,309.4,1463,49.2,235,0,0,0,0,0,0
2862,2,300.7,309.5,1479,43.6,240,0,0,0,0,0,0
2863,2,300.6,309.5,1867,23,242,0,0,0,0,0,0
2864,2,300.6,309.4,1471,44.1,244,0,0,0,0,0,0
2865,3,300.6,309.4,1380,47.6,246,1,1,0,0,0,0
2866,3,300.7,309.7,1623,32.7,0,0,0,0,0,0,0
2867,2,300.8,309.7,1997,20.7,5,0,0,0,0,0,0
2868,3,300.7,309.6,1390,48.5,7,0,0,0,0,0,0
2869,2,300.8,309.7,1418,46.6,12,0,0,0,0,0,0
2870,2,300.8,309.7,1519,35.8,14,0,0,0,0,0,0
2871,1,300.8,309.7,1519,39.7,16,0,0,0,0,0,0
2872,1,300.7,309.6,1536,37.2,19,0,0,0,0,0,0
2873,2,300.8,309.6,1680,28.7,22,0,0,0,0,0,0
2874,3,300.6,309.4,1555,37.9,24,0,0,0,0,0,0
2875,2,300.6,309.5,1471,49.6,29,0,0,0,0,0,0
2876,1,300.5,309.4,1877,23.8,31,0,0,0,0,0,0
2877,1,300.5,309.3,1578,30.5,34,0,0,0,0,0,0
2878,1,300.5,309.4,1655,32.1,37,0,0,0,0,0,0
2879,3,300.5,309.4,1502,34.3,40,0,0,0,0,0,0
2880,1,300.6,309.4,1367,63.2,45,1,0,0,1,0,0
2881,2,300.7,309.5,1541,37.2,48,0,0,0,0,0,0
2882,1,300.6,309.6,1588,37,50,0,0,0,0,0,0
2883,2,300.6,309.6,1684,32.8,53,0,0,0,0,0,0
2884,2,300.6,309.5,1437,40,55,0,0,0,0,0,0
2885,2,300.6,309.6,1409,42.4,57,0,0,0,0,0,0
2886,1,300.5,309.5,1320,49.9,59,0,0,0,0,0,0
2887,3,300.5,309.5,1635,34.2,62,0,0,0,0,0,0
2888,1,300.5,309.5,1691,27.6,67,0,0,0,0,0,0
2889,1,300.6,309.6,1365,50,70,0,0,0,0,0,0
2890,1,300.7,309.7,1523,38.2,73,0,0,0,0,0,0
2891,2,300.6,309.7,1593,32.4,76,0,0,0,0,0,0
2892,2,300.6,309.6,1682,30.7,78,0,0,0,0,0,0
2893,2,300.7,309.6,1329,54.3,80,0,0,0,0,0,0
2894,1,300.7,309.6,1568,35.2,82,0,0,0,0,0,0
2895,2,300.7,309.6,1733,24.8,85,0,0,0,0,0,0
2896,1,300.7,309.6,1473,48.1,87,0,0,0,0,0,0
2897,1,300.7,309.5,1633,31.3,90,0,0,0,0,0,0
2898,1,300.6,309.5,1530,40.2,93,0,0,0,0,0,0
2899,1,300.6,309.5,1550,40.2,96,0,0,0,0,0,0
2900,2,300.6,309.4,1410,40.6,99,0,0,0,0,0,0
2901,2,300.5,309.3,1574,33.5,101,0,0,0,0,0,0
2902,2,300.6,309.4,1425,40.3,103,0,0,0,0,0,0
2903,1,300.6,309.4,1541,35.2,105,0,0,0,0,0,0
2904,1,300.7,309.5,1733,26.7,108,0,0,0,0,0,0
2905,2,300.6,309.4,2496,13.5,111,0,0,0,0,0,0
2906,2,300.6,309.4,1552,36.4,113,0,0,0,0,0,0
2907,2,300.6,309.3,1409,38.7,115,0,0,0,0,0,0
2908,1,300.6,309.4,1581,35.7,117,0,0,0,0,0,0
2909,2,300.7,309.5,1251,59.9,120,0,0,0,0,0,0
2910,2,300.7,309.6,1500,44.1,122,0,0,0,0,0,0
2911,2,300.6,309.5,1576,38.8,124,0,0,0,0,0,0
2912,1,300.7,309.5,1352,44,126,0,0,0,0,0,0
2913,2,300.7,309.6,1661,30.3,129,0,0,0,0,0,0
2914,2,300.7,309.6,1541,34.6,131,0,0,0,0,0,0
2915,3,300.6,309.6,1888,20.5,133,0,0,0,0,0,0
2916,2,300.5,309.5,1255,62.1,138,0,0,0,0,0,0
2917,2,300.6,309.6,1411,41.6,140,0,0,0,0,0,0
2918,2,300.6,309.5,1516,39,142,0,0,0,0,0,0
2919,1,300.6,309.5,1492,34,144,0,0,0,0,0,0
2920,2,300.6,309.6,1726,30,147,0,0,0,0,0,0
2921,2,300.7,309.7,1598,33.7,149,0,0,0,0,0,0
2922,2,300.8,309.8,1657,31.1,151,0,0,0,0,0,0
2923,2,300.8,309.7,1481,38.1,153,0,0,0,0,0,0
2924,1,300.7,309.7,1397,51.3,155,0,0,0,0,0,0
2925,2,300.8,309.7,1461,44.3,158,0,0,0,0,0,0
2926,1,300.7,309.6,1388,51.1,160,0,0,0,0,0,0
2927,2,300.7,309.7,1507,52.4,163,0,0,0,0,0,0
2928,1,300.7,309.6,1421,49.8,165,0,0,0,0,0,0
2929,1,300.8,309.7,1258,54.9,168,0,0,0,0,0,0
2930,1,300.8,309.7,1482,39,171,0,0,0,0,0,0
2931,3,300.7,309.6,1403,51.3,174,0,0,0,0,0,0
2932,2,300.8,309.7,1373,45.4,179,0,0,0,0,0,0
2933,2,300.9,309.7,1460,42.1,181,0,0,0,0,0,0
2934,1,300.8,309.7,1751,27.9,183,0,0,0,0,0,0
2935,1,300.8,309.6,1546,42.3,186,0,0,0,0,0,0
2936,1,300.8,309.7,1680,28.2,189,0,0,0,0,0,0
2937,1,300.9,309.7,1394,48.8,192,0,0,0,0,0,0
2938,2,300.7,309.6,1810,26,195,0,0,0,0,0,0
2939,2,300.7,309.5,1479,34.5,197,0,0,0,0,0,0
2940,2,300.9,309.7,1431,41.4,199,0,0,0,0,0,0
2941,2,300.9,309.7,2355,14.4,201,0,0,0,0,0,0
2942,1,300.7,309.6,1996,19.8,203,1,1,0,0,0,0
2943,2,300.7,309.5,1461,49.9,0,0,0,0,0,0,0
2944,3,300.7,309.5,2007,19.7,2,0,0,0,0,0,0
2945,2,300.7,309.6,1505,34.9,7,0,0,0,0,0,0
2946,3,300.7,309.6,1925,20.5,9,0,0,0,0,0,0
2947,1,300.7,309.5,1622,30.5,14,0,0,0,0,0,0
2948,2,300.7,309.5,1592,29,17,0,0,0,0,0,0
2949,2,300.7,309.5,1850,24.5,19,0,0,0,0,0,0
2950,1,300.7,309.5,1470,48.7,21,0,0,0,0,0,0
2951,1,300.7,309.5,1445,46.4,24,0,0,0,0,0,0
2952,2,300.7,309.5,1685,31.1,27,0,0,0,0,0,0
2953,3,300.7,309.5,1667,30.5,29,0,0,0,0,0,0
2954,2,300.7,309.5,1578,35.4,34,0,0,0,0,0,0
2955,3,300.6,309.4,1691,28,36,0,0,0,0,0,0
2956,1,300.7,309.5,1439,43.8,41,0,0,0,0,0,0
2957,1,300.8,309.6,1404,38.7,44,0,0,0,0,0,0
2958,2,300.8,309.6,1498,45.8,47,0,0,0,0,0,0
2959,1,300.8,309.5,1481,44.5,49,0,0,0,0,0,0
2960,1,300.7,309.4,1589,35,52,0,0,0,0,0,0
2961,2,300.7,309.5,1467,44.3,55,0,0,0,0,0,0
2962,2,300.6,309.4,1654,32.8,57,0,0,0,0,0,0
2963,2,300.7,309.5,1508,39.9,59,0,0,0,0,0,0
2964,1,300.7,309.6,1439,43,61,0,0,0,0,0,0
2965,2,300.7,309.5,1692,30.3,64,0,0,0,0,0,0
2966,1,300.7,309.5,1838,24.9,66,0,0,0,0,0,0
2967,2,300.6,309.3,1601,40.2,69,0,0,0,0,0,0
2968,2,300.6,309.4,1369,51.6,71,0,0,0,0,0,0
2969,1,300.6,309.4,1312,45.2,73,0,0,0,0,0,0
2970,2,300.6,309.4,1468,44.1,76,0,0,0,0,0,0
2971,1,300.6,309.4,1452,39.4,78,0,0,0,0,0,0
2972,1,300.7,309.5,1393,43.9,81,0,0,0,0,0,0
2973,1,300.6,309.4,1432,44.2,84,0,0,0,0,0,0
2974,1,300.6,309.3,1510,46,87,0,0,0,0,0,0
2975,1,300.6,309.4,1521,37.2,90,0,0,0,0,0,0
2976,3,300.5,309.4,1360,46.2,93,0,0,0,0,0,0
2977,1,300.5,309.3,1881,25.5,98,0,0,0,0,0,0
2978,2,300.4,309.3,1413,50.3,101,0,0,0,0,0,0
2979,3,300.5,309.4,1642,36.2,103,0,0,0,0,0,0
2980,2,300.5,309.5,1542,38.5,108,0,0,0,0,0,0
2981,2,300.4,309.5,1447,39.3,110,0,0,0,0,0,0
2982,3,300.4,309.4,1530,40.4,112,0,0,0,0,0,0
2983,2,300.5,309.5,1795,27.7,117,0,0,0,0,0,0
2984,2,300.6,309.6,1290,57.4,119,0,0,0,0,0,0
2985,2,300.6,309.7,1639,30.4,121,0,0,0,0,0,0
2986,2,300.7,309.8,1596,31.5,123,0,0,0,0,0,0
2987,2,300.6,309.8,1455,48,125,0,0,0,0,0,0
2988,1,300.6,309.8,1659,28.9,127,0,0,0,0,0,0
2989,1,300.6,309.8,1532,42.5,130,0,0,0,0,0,0
2990,2,300.6,309.8,1502,42.4,133,0,0,0,0,0,0
2991,2,300.6,309.8,1688,28.6,135,0,0,0,0,0,0
2992,1,300.5,309.7,1341,50.9,137,0,0,0,0,0,0
2993,1,300.5,309.7,1685,29.4,140,0,0,0,0,0,0
2994,1,300.5,309.8,1370,55.9,143,0,0,0,0,0,0
2995,2,300.5,309.8,1461,52.5,146,0,0,0,0,0,0
2996,2,300.5,309.8,1550,37.4,148,0,0,0,0,0,0
2997,1,300.5,309.8,1508,37.8,150,0,0,0,0,0,0
2998,2,300.5,309.8,1345,62.7,153,0,0,0,0,0,0
2999,2,300.5,309.7,1616,34.5,155,0,0,0,0,0,0
3000,2,300.5,309.7,1395,61,157,0,0,0,0,0,0
3001,3,300.5,309.8,1324,72.8,159,1,0,0,1,0,0
3002,2,300.5,309.8,1445,43.9,164,0,0,0,0,0,0
3003,1,300.5,309.8,1555,38.9,166,0,0,0,0,0,0
3004,1,300.6,309.9,1449,42.4,169,0,0,0,0,0,0
3005,1,300.5,309.9,1466,53.2,172,0,0,0,0,0,0
3006,2,300.5,309.9,1503,37.4,175,0,0,0,0,0,0
3007,2,300.4,309.7,1488,35.7,177,0,0,0,0,0,0
3008,2,300.4,309.7,1314,50.2,179,0,0,0,0,0,0
3009,1,300.4,309.7,1547,38,181,0,0,0,0,0,0
3010,1,300.4,309.7,1466,39.8,184,0,0,0,0,0,0
3011,2,300.3,309.6,1537,37.1,187,0,0,0,0,0,0
3012,1,300.2,309.5,1434,51.5,189,0,0,0,0,0,0
3013,2,300.4,309.6,1432,44.7,192,0,0,0,0,0,0
3014,2,300.5,309.6,1390,48.4,194,0,0,0,0,0,0
3015,2,300.5,309.7,1580,42.8,196,0,0,0,0,0,0
3016,2,300.5,309.7,1589,30.5,198,0,0,0,0,0,0
3017,2,300.5,309.8,1441,48.8,200,0,0,0,0,0,0
3018,2,300.5,309.8,1305,51.7,202,0,0,0,0,0,0
3019,1,300.5,309.8,1566,35.9,204,0,0,0,0,0,0
3020,2,300.5,309.8,1379,54.2,207,1,0,0,0,1,0
3021,2,300.4,309.6,1543,38.1,209,0,0,0,0,0,0
3022,2,300.5,309.8,1421,49.6,211,0,0,0,0,0,0
3023,2,300.5,309.6,1760,30.6,213,0,0,0,0,0,0
3024,2,300.4,309.5,1711,29.2,215,0,0,0,0,0,0
3025,2,300.5,309.6,1465,41.6,217,0,0,0,0,0,0
3026,2,300.5,309.6,1366,50.2,219,0,0,0,0,0,0
3027,1,300.4,309.5,1888,21.9,221,0,0,0,0,0,0
3028,2,300.5,309.5,1777,23.6,0,0,0,0,0,0,0
3029,2,300.5,309.5,1379,55.6,2,0,0,0,0,0,0
3030,2,300.4,309.5,1525,51.3,4,0,0,0,0,0,0
3031,1,300.4,309.6,1563,34,6,0,0,0,0,0,0
3032,1,300.5,309.7,1389,43.3,9,0,0,0,0,0,0
3033,1,300.6,309.8,1447,42.9,12,0,0,0,0,0,0
3034,1,300.6,309.7,1934,22.8,15,0,0,0,0,0,0
3035,3,300.6,309.7,1470,43.8,18,0,0,0,0,0,0
3036,1,300.6,309.7,1428,42.6,23,0,0,0,0,0,0
3037,2,300.4,309.6,1319,48.1,26,0,0,0,0,0,0
3038,2,300.5,309.7,1887,24.3,28,0,0,0,0,0,0
3039,2,300.4,309.5,1349,50.4,30,0,0,0,0,0,0
3040,1,300.3,309.5,1665,31.4,32,0,0,0,0,0,0
3041,2,300.3,309.5,1474,38.7,35,0,0,0,0,0,0
3042,2,300.4,309.5,1543,38.9,37,0,0,0,0,0,0
3043,1,300.2,309.4,1459,43.9,39,0,0,0,0,0,0
3044,2,300.3,309.5,1551,37.9,42,0,0,0,0,0,0
3045,2,300.2,309.4,1981,21.4,44,0,0,0,0,0,0
3046,2,300.2,309.4,1526,35.3,46,0,0,0,0,0,0
3047,1,300.2,309.4,1501,40,48,0,0,0,0,0,0
3048,2,300.2,309.4,1558,38.3,51,0,0,0,0,0,0
3049,2,300.2,309.3,1532,43.2,53,0,0,0,0,0,0
3050,2,300.1,309.2,1326,55.9,55,0,0,0,0,0,0
3051,2,300.2,309.2,1431,51.3,57,0,0,0,0,0,0
3052,2,300.2,309.3,1366,49.3,59,0,0,0,0,0,0
3053,2,300.1,309.2,1421,42.5,61,0,0,0,0,0,0
3054,3,300.2,309.3,1506,35.6,63,0,0,0,0,0,0
3055,3,300.2,309.3,1342,48.7,68,0,0,0,0,0,0
3056,2,300.1,309.2,1427,37.6,73,0,0,0,0,0,0
3057,2,300.2,309.2,1667,29.9,75,0,0,0,0,0,0
3058,2,300.1,309.1,1400,46.7,77,0,0,0,0,0,0
3059,2,300,309,1709,32.1,79,0,0,0,0,0,0
3060,1,300,309,1368,45.8,81,0,0,0,0,0,0
3061,2,300,309.1,1882,23.8,84,0,0,0,0,0,0
3062,2,300.1,309.1,1353,58.7,86,0,0,0,0,0,0
3063,2,299.9,309,1553,40,88,0,0,0,0,0,0
3064,2,300,309.1,1431,45.4,90,0,0,0,0,0,0
3065,1,300.1,309.1,1731,30.4,92,0,0,0,0,0,0
3066,1,300.1,309.2,1687,27.7,95,0,0,0,0,0,1
3067,1,300.1,309.2,1457,44.3,98,0,0,0,0,0,0
3068,2,300.1,309.2,1533,37,101,0,0,0,0,0,0
3069,3,300,309,1622,31.8,103,0,0,0,0,0,0
3070,2,300,309.1,1791,28.2,108,0,0,0,0,0,0
3071,2,300,309.1,1631,28.3,110,0,0,0,0,0,0
3072,2,300,309,2174,16.9,112,0,0,0,0,0,0
3073,2,300.1,309,1314,58.2,114,0,0,0,0,0,0
3074,2,300.1,309.1,1478,46.9,116,0,0,0,0,0,0
3075,2,300.1,309.2,1783,27.3,118,0,0,0,0,0,0
3076,1,300.1,309.2,1385,46.1,120,0,0,0,0,0,0
3077,2,300,309.2,1444,43.6,123,0,0,0,0,0,0
3078,2,300.1,309.3,1841,23,125,0,0,0,0,0,0
3079,1,300.1,309.4,1349,56.2,127,0,0,0,0,0,0
3080,2,300.1,309.3,1340,56,130,0,0,0,0,0,0
3081,1,299.9,309.2,1539,43.2,132,0,0,0,0,0,0
3082,1,300,309.3,1932,21.8,135,0,0,0,0,0,0
3083,1,300,309.3,1407,43.9,138,0,0,0,0,0,0
3084,2,300.1,309.3,1712,28.5,141,0,0,0,0,0,0
3085,3,300.1,309.4,1329,55.2,143,0,0,0,0,0,0
3086,2,300.1,309.2,1441,42.9,148,0,0,0,0,0,0
3087,2,300,309.2,1610,32.1,150,0,0,0,0,0,0
3088,1,300,309.1,1474,45.2,152,0,0,0,0,0,0
3089,1,300,309.1,1624,30.8,155,0,0,0,0,0,0
3090,3,300.1,309.3,1520,38.2,158,0,0,0,0,0,0
3091,3,300.1,309.3,1448,45.8,163,0,0,0,0,0,0
3092,2,300,309.3,1558,29.7,168,0,0,0,0,0,0
3093,1,300,309.3,2293,16.3,170,0,0,0,0,0,0
3094,2,300,309.3,1397,51.2,173,0,0,0,0,0,0
3095,2,300,309.3,1972,22,175,0,0,0,0,0,0
3096,1,299.9,309.2,1574,36.5,177,0,0,0,0,0,0
3097,2,299.9,309.2,1560,38.9,180,0,0,0,0,0,0
3098,1,299.9,309.2,1353,49.8,182,0,0,0,0,0,0
3099,1,299.9,309.2,1389,51.2,185,0,0,0,0,0,0
3100,1,299.9,309.1,1513,43.8,188,0,0,0,0,0,0
3101,2,299.8,309.1,1578,42.1,191,0,0,0,0,0,0
3102,3,299.8,309,1467,37.3,193,0,0,0,0,0,0
3103,2,299.9,309.1,1412,48.3,198,0,0,0,0,0,0
3104,2,299.8,309.1,1668,30.3,200,0,0,0,0,0,0
3105,1,299.8,309.2,1678,29.8,202,0,0,0,0,0,0
3106,2,299.8,309.1,1612,35.4,205,0,0,0,0,0,0
3107,2,299.8,309.1,1485,39.9,207,0,0,0,0,0,0
3108,1,299.8,309.1,1456,39.4,209,0,0,0,0,0,0
3109,2,299.8,309.2,1504,38.7,212,0,0,0,0,0,0
3110,2,299.9,309.2,1491,44.3,214,0,0,0,0,0,0
3111,3,299.9,309.2,1525,33.2,0,0,0,0,0,0,0
3112,2,300,309.2,1759,27.9,5,0,0,0,0,0,0
3113,1,299.8,309.1,1355,56.7,7,0,0,0,0,0,0
3114,1,299.9,309.1,1345,56.8,10,0,0,0,0,0,0
3115,1,299.9,309.2,1683,30.5,13,0,0,0,0,0,0
3116,2,299.9,309.2,1658,34.8,16,0,0,0,0,0,0
3117,2,300,309.2,1566,34.4,18,0,0,0,0,0,0
3118,1,300.1,309.3,1469,43.9,20,0,0,0,0,0,0
3119,1,300.2,309.5,1458,46.9,23,0,0,0,0,0,0
3120,2,300.1,309.4,1858,23.6,26,0,0,0,0,0,0
3121,3,300.1,309.4,1563,40.8,28,0,0,0,0,0,0
3122,2,300.1,309.4,2141,17.9,33,0,0,0,0,0,0
3123,2,300,309.3,1473,46,35,0,0,0,0,0,0
3124,3,300,309.4,1498,38.5,37,0,0,0,0,0,0
3125,2,300.1,309.4,1568,39.7,42,0,0,0,0,0,0
3126,2,300.1,309.4,1694,27.4,44,0,0,0,0,0,0
3127,2,300,309.4,1499,35.7,46,0,0,0,0,0,0
3128,2,300,309.5,1717,28.3,48,0,0,0,0,0,0
3129,1,300.1,309.5,1462,42.8,50,0,0,0,0,0,0
3130,2,300.1,309.6,1642,34.5,53,0,0,0,0,0,0
3131,2,300.1,309.6,1760,25.4,55,0,0,0,0,0,0
3132,2,300.1,309.5,1660,32.7,57,0,0,0,0,0,0
3133,2,300.1,309.5,1557,40.6,59,0,0,0,0,0,0
3134,3,300.2,309.6,1442,49.2,61,0,0,0,0,0,0
3135,2,300.2,309.6,1359,51.5,66,0,0,0,0,0,0
3136,2,300.4,309.8,1342,52.5,68,0,0,0,0,0,0
3137,2,300.4,309.9,1435,54.8,70,0,0,0,0,0,0
3138,2,300.4,309.9,1567,36.5,72,0,0,0,0,0,0
3139,2,300.4,309.9,1376,43.5,74,0,0,0,0,0,0
3140,3,300.4,309.9,1513,38.7,76,0,0,0,0,0,0
3141,3,300.4,309.9,2563,12.8,81,1,0,0,1,0,0
3142,2,300.5,310,1521,45.1,86,0,0,0,0,0,0
3143,2,300.6,310,1658,34.7,88,0,0,0,0,0,0
3144,3,300.6,310,1419,42.4,90,0,0,0,0,0,0
3145,1,300.6,310,1478,36.3,95,0,0,0,0,0,0
3146,1,300.5,310,1415,43.5,98,0,0,0,0,0,0
3147,1,300.5,309.9,1780,26.5,101,0,0,0,0,0,0
3148,1,300.4,309.7,1440,42.8,104,0,0,0,0,0,0
3149,3,300.4,309.8,1448,39.7,107,0,0,0,0,0,0
3150,3,300.4,309.7,1500,35.2,112,0,0,0,0,0,0
3151,2,300.4,309.8,1513,32.9,117,0,0,0,0,0,0
3152,2,300.5,309.8,1428,43.8,119,0,0,0,0,0,0
3153,1,300.5,309.8,1473,42.3,121,0,0,0,0,0,0
3154,1,300.5,309.9,1483,49.3,124,0,0,0,0,0,0
3155,2,300.4,309.7,1534,42.5,127,0,0,0,0,0,0
3156,2,300.5,309.8,1367,54,129,0,0,0,0,0,0
